Filename                        None            Some            Many             Few       Alternate      None Time       Some Time       Many Time        Few Time  Alternate Time 
G-ex.txt                           3         NP hard         NP hard               0            True           0.0s            0.0s            0.0s            0.0s            0.0s 
G.txt                              2         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
P3.txt                            -1         NP hard         NP hard               1            True           0.0s            0.0s            0.0s            0.0s            0.0s 
bht.txt                            6         NP hard         NP hard               0           False        0.0119s            0.0s            0.0s         0.0129s         0.0114s 
common-1-100.txt                  -1         NP hard         NP hard              -1           False        0.0001s            0.0s            0.0s         0.0001s         0.0001s 
common-1-1000.txt                 -1         NP hard         NP hard              -1           False        0.0008s            0.0s            0.0s         0.0008s          0.001s 
common-1-1500.txt                 -1         NP hard         NP hard              -1           False        0.0014s            0.0s            0.0s         0.0014s         0.0017s 
common-1-20.txt                   -1           False              -1              -1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
common-1-2000.txt                 -1         NP hard         NP hard              -1           False        0.0021s            0.0s            0.0s         0.0022s         0.0029s 
common-1-250.txt                  -1         NP hard         NP hard              -1           False        0.0002s            0.0s            0.0s         0.0001s         0.0002s 
common-1-2500.txt                 -1         NP hard         NP hard               1           False        0.0031s            0.0s            0.0s         0.0043s         0.0035s 
common-1-3000.txt                 -1         NP hard         NP hard               1           False         0.004s            0.0s            0.0s         0.0051s         0.0045s 
common-1-3500.txt                 -1         NP hard         NP hard               1           False        0.0565s            0.0s            0.0s         0.0077s         0.0058s 
common-1-4000.txt                 -1         NP hard         NP hard               1           False        0.0062s            0.0s            0.0s         0.0085s         0.0068s 
common-1-4500.txt                 -1         NP hard         NP hard               1            True        0.0082s            0.0s            0.0s         0.0104s         0.0089s 
common-1-50.txt                   -1         NP hard         NP hard              -1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
common-1-500.txt                  -1         NP hard         NP hard              -1           False        0.0004s            0.0s            0.0s         0.0003s         0.0004s 
common-1-5000.txt                 -1         NP hard         NP hard               1            True        0.0092s            0.0s            0.0s         0.0126s         0.0102s 
common-1-5757.txt                 -1         NP hard         NP hard               1            True        0.0113s            0.0s            0.0s         0.0168s         0.0133s 
common-2-100.txt                  -1         NP hard         NP hard              -1           False        0.0001s            0.0s            0.0s         0.0001s         0.0001s 
common-2-1000.txt                 -1         NP hard         NP hard               1            True        0.0032s            0.0s            0.0s         0.0045s         0.0037s 
common-2-1500.txt                 -1         NP hard         NP hard               1            True        0.0064s            0.0s            0.0s         0.0094s         0.0074s 
common-2-20.txt                   -1         NP hard         NP hard              -1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
common-2-2000.txt                 -1         NP hard         NP hard               1            True        0.0104s            0.0s            0.0s         0.0152s         0.0122s 
common-2-250.txt                  -1         NP hard         NP hard              -1           False        0.0003s            0.0s            0.0s         0.0003s         0.0003s 
common-2-2500.txt                 -1         NP hard         NP hard               1            True        0.0161s            0.0s            0.0s         0.0234s         0.0184s 
common-2-3000.txt                 -1         NP hard         NP hard               1            True        0.0222s            0.0s            0.0s         0.0322s         0.0256s 
common-2-3500.txt                 -1         NP hard         NP hard               1            True        0.0306s            0.0s            0.0s          0.054s         0.0364s 
common-2-4000.txt                 -1         NP hard         NP hard               1            True        0.0387s            0.0s            0.0s         0.0562s         0.0489s 
common-2-4500.txt                 -1         NP hard         NP hard               1            True        0.0511s            0.0s            0.0s         0.0733s         0.0567s 
common-2-50.txt                   -1         NP hard         NP hard              -1           False        0.0001s            0.0s            0.0s            0.0s            0.0s 
common-2-500.txt                  -1         NP hard         NP hard               1            True         0.001s            0.0s            0.0s         0.0013s         0.0011s 
common-2-5000.txt                 -1         NP hard         NP hard               1            True        0.0604s            0.0s            0.0s         0.0885s         0.0693s 
common-2-5757.txt                 -1         NP hard         NP hard               1            True        0.0791s            0.0s            0.0s         0.1291s         0.0902s 
dodecahedron.txt                  -1         NP hard         NP hard               2           False           0.0s            0.0s            0.0s            0.0s            0.0s 
gnm-10-15-0.txt                    1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
gnm-10-15-1.txt                   -1         NP hard         NP hard               1            True           0.0s            0.0s            0.0s            0.0s            0.0s 
gnm-10-20-0.txt                   -1         NP hard         NP hard               1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
gnm-10-20-1.txt                   -1         NP hard         NP hard               2            True           0.0s            0.0s            0.0s            0.0s            0.0s 
gnm-1000-1500-0.txt               -1         NP hard         NP hard               1           False        0.0016s            0.0s            0.0s         0.0021s         0.0015s 
gnm-1000-1500-1.txt               -1         NP hard         NP hard               2           False        0.0014s            0.0s            0.0s         0.0019s         0.0016s 
gnm-1000-2000-0.txt                7         NP hard         NP hard               0           False        0.0018s            0.0s            0.0s         0.0019s         0.0017s 
gnm-1000-2000-1.txt               -1         NP hard         NP hard               2           False        0.0015s            0.0s            0.0s         0.0019s         0.0017s 
gnm-2000-3000-0.txt                8         NP hard         NP hard               0           False        0.0031s            0.0s            0.0s         0.0034s          0.003s 
gnm-2000-3000-1.txt               -1         NP hard         NP hard               2            True        0.0024s            0.0s            0.0s         0.0033s         0.0033s 
gnm-2000-4000-0.txt                6         NP hard         NP hard               0           False        0.0038s            0.0s            0.0s         0.0042s         0.0038s 
gnm-2000-4000-1.txt                5         NP hard         NP hard               0           False        0.0031s            0.0s            0.0s          0.004s         0.0036s 
gnm-3000-4500-0.txt               10         NP hard         NP hard               0           False        0.0048s            0.0s            0.0s         0.0061s         0.0047s 
gnm-3000-4500-1.txt               -1         NP hard         NP hard               2           False        0.0039s            0.0s            0.0s         0.0059s          0.005s 
